date,average_visit_duration
2023-09-01,271.8919849000796
2023-09-02,200.56765649162548
2023-09-03,425.04896409822015
2023-09-04,229.47884417732715
2023-09-05,329.8650001531595
2023-09-06,138.7593183150431
2023-09-07,307.46212788633085
2023-09-08,131.44504506590476
2023-09-09,313.4529829414974
2023-09-10,285.44073353572435
2023-09-11,215.19629830622364
2023-09-12,448.1046612960362
2023-09-13,142.83490919081783
2023-09-14,205.47912992591856
2023-09-15,184.0862730537393
2023-09-16,156.21997315780547
2023-09-17,210.81144412712123
2023-09-18,173.2247194354607
2023-09-19,281.98249152112163
2023-09-20,116.19720783928304
2023-09-21,362.17256923453454
2023-09-22,107.43998275640737
2023-09-23,415.6982562407028
2023-09-24,246.9506517003374
2023-09-25,179.66577744351576
2023-09-26,239.39002205622415
2023-09-27,128.93144337594197
2023-09-28,96.10530807002175
2023-09-29,187.2831457970367
2023-09-30,247.1117001631649
2023-10-01,107.41150244196035
2023-10-02,143.8923841428748
2023-10-03,146.2574582539975
2023-10-04,141.53381700866134
2023-10-05,261.93475203800284
2023-10-06,88.13055867738235
2023-10-07,318.4720785353013
2023-10-08,279.35679457996866
2023-10-09,427.4004000116307
2023-10-10,139.7109115895983
2023-10-11,112.04067292211114
2023-10-12,105.67937137248764
2023-10-13,217.45773932946258
2023-10-14,184.68161208221656
2023-10-15,68.82099527992865
2023-10-16,159.99966207740974
2023-10-17,282.35801682857345
2023-10-18,220.89998283517122
2023-10-19,227.91110399407793
2023-10-20,115.73763428169163
2023-10-21,196.93741578313492
2023-10-22,169.1100888011868
2023-10-23,215.18602351054372
2023-10-24,305.54302762484986
2023-10-25,111.53679065230897
2023-10-26,203.96761524910065
2023-10-27,335.4420368450108
2023-10-28,255.76638427917246
2023-10-29,109.38736176978988
2023-10-30,447.9819335930032
2023-10-31,176.92418972937938
2023-11-01,193.57488581977756
2023-11-02,345.13808537990485
2023-11-03,330.6730804412288
2023-11-04,132.31653639169693
2023-11-05,161.7110982717594
2023-11-06,211.00807696980496
2023-11-07,185.74099195043672
2023-11-08,127.80285040819513
2023-11-09,234.95485043316276
2023-11-10,364.4585270056047
2023-11-11,237.69039655153765
2023-11-12,140.49279709638785
2023-11-13,190.39043236099127
2023-11-14,319.9393123724266
2023-11-15,217.60527015632078
2023-11-16,178.39131601636933
2023-11-17,211.0098191774469
2023-11-18,119.46027219284984
2023-11-19,88.25850188519189
2023-11-20,279.5367257626337
2023-11-21,195.51892217009225
2023-11-22,333.57529615323875
2023-11-23,381.0359536435175
2023-11-24,450.0179612698876
2023-11-25,297.35639599961934
2023-11-26,179.6382186265783
2023-11-27,180.37019491805057
2023-11-28,208.63079301036714
2023-11-29,83.04804368769638
2023-11-30,337.59651404575425
