date,visits
2023-09-01,12832.32749370291
2023-09-02,14285.74189781951
2023-09-03,9868.352244713888
2023-09-04,21546.930891912292
2023-09-05,14169.775938209812
2023-09-06,16641.360521752824
2023-09-07,11155.941990217101
2023-09-08,12776.754887087005
2023-09-09,12286.637815589365
2023-09-10,18546.22891457323
2023-09-11,15238.8632983584
2023-09-12,21174.074948146146
2023-09-13,27576.19980514401
2023-09-14,16184.562128500325
2023-09-15,16603.312647526822
2023-09-16,14771.468023780548
2023-09-17,10833.540584482576
2023-09-18,13470.878328683248
2023-09-19,15292.876939102536
2023-09-20,22769.177878323575
2023-09-21,14225.098456600495
2023-09-22,10166.85669496995
2023-09-23,12611.562959464367
2023-09-24,13693.150124051685
2023-09-25,15126.562850044556
2023-09-26,12628.141033111635
2023-09-27,13382.157683635425
2023-09-28,12115.718031612061
2023-09-29,12202.466144177904
2023-09-30,17836.511418416645
2023-10-01,32704.59854393524
2023-10-02,20157.77618303273
2023-10-03,14984.065483147333
2023-10-04,17600.526364836373
2023-10-05,11592.863631286256
2023-10-06,10971.02794393429
2023-10-07,13333.080156818833
2023-10-08,14896.550186762945
2023-10-09,11453.441597235924
2023-10-10,8597.379332809538
2023-10-11,19247.77194383511
2023-10-12,9329.56675268519
2023-10-13,10436.16930584578
2023-10-14,11279.634986513829
2023-10-15,18906.157158413862
2023-10-16,16206.741034143939
2023-10-17,13715.085859547931
2023-10-18,14548.083345497578
2023-10-19,12513.785783832189
2023-10-20,10691.302562722281
2023-10-21,12573.751412760957
2023-10-22,18149.726538618925
2023-10-23,13961.529465446412
2023-10-24,12446.3583448597
2023-10-25,13471.538692999027
2023-10-26,15637.08723507309
2023-10-27,11729.109872227806
2023-10-28,14032.398074855784
2023-10-29,28144.85678504367
2023-10-30,16681.769378080622
2023-10-31,18029.928943825085
2023-11-01,23132.33703272174
2023-11-02,15308.58361853965
2023-11-03,13607.714780540144
2023-11-04,10010.538154592537
2023-11-05,15138.613575247648
2023-11-06,16146.980942046299
2023-11-07,11332.905002522977
2023-11-08,33317.289923731165
2023-11-09,13608.580899518765
2023-11-10,12208.65159154229
2023-11-11,12272.108310447089
2023-11-12,16240.896066276899
2023-11-13,13976.901628749163
2023-11-14,14393.655133054548
2023-11-15,21660.8748493784
2023-11-16,21077.63384590302
2023-11-17,13603.016905379915
2023-11-18,11665.715665118429
2023-11-19,25918.371434175468
2023-11-20,22538.704745659175
2023-11-21,23005.664840999365
2023-11-22,32897.79730304958
2023-11-23,25363.450012264693
2023-11-24,19680.91206226934
2023-11-25,17719.10637178096
2023-11-26,43790.93754067829
2023-11-27,27520.74577145859
2023-11-28,16749.314868623067
2023-11-29,23701.078613912126
2023-11-30,23333.450525790664
